,suburb,propert_desc,address,price,property_details,property_features,image
34,"Fourways, Sunninghill and Lonehill",4 Bed House in Fourways,"27 Kingfisher Creek, 33 Frederick Road",R 3 700 010,"['Listing number\nT4736230', 'Property type\nHouse', 'Erf size\n341 m²', 'Floor size\n270 m²', 'Rates and taxes\nR 2 297', 'Levies\nR 1 430']","['Bedrooms\n4', 'Bathrooms\n3.5', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n1', 'Storeys\n2']",https://helium.privateproperty.co.za/live-za-images/property/0/34/10568000/images/property-10568000-48362329_dhd.jpg
35,"Fourways, Sunninghill and Lonehill",5 Bed House in Steyn City,5011 The Village,R 15 000 000,"['Listing number\nT4744369', 'Property type\nHouse', 'Erf size\n812 m²', 'Floor size\n588 m²', 'Rates and taxes\nR 10 000', 'Levies\nR 5 500']","['Bedrooms\n5', 'Bathrooms\n5.5', 'Garages\n4']",https://helium.privateproperty.co.za/live-za-images/property/290/41/10582290/images/property-10582290-81410391_dhd.jpg
36,"Fourways, Sunninghill and Lonehill",5 Bed House in Dainfern Golf Estate,1760 Monterey Drive,R 17 900 000,"['Listing number\nT11660', 'Property type\nHouse', 'Erf size\n1 792 m²', 'Floor size\n981 m²', 'Rates and taxes\nR 8 121', 'Levies\nR 4 490']","['Bedrooms\n5', 'Bathrooms\n4.5', 'En-suite\n3', 'Lounges\n3', 'Dining Areas\n1', 'Garages\n4', 'Open Parkings\n4', 'Storeys\n2']",https://helium.privateproperty.co.za/live-za-images/property/1564/1/10503564/images/property-10503564-53915220_dhd.jpg
37,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Craigavon,,R 930 000,"['Listing number\nT4621117', 'Property type\nApartment', 'Floor size\n93 m²', 'Rates and taxes\nR 840', 'Levies\nR 1 667']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/807/36/10372807/images/property-10372807-69926786_dhd.jpg
38,"Fourways, Sunninghill and Lonehill",3 Bed House in Fourways,,R 1 910 000,"['Listing number\nT4764132', 'Property type\nHouse', 'Erf size\n250 m²', 'Floor size\n103 m²', 'Rates and taxes\nR 1 600', 'Levies\nR 1 200']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2', 'Storeys\n1']",https://helium.privateproperty.co.za/live-za-images/property/64/8/10616064/images/property-10616064-49942188_dhd.jpg
39,"Fourways, Sunninghill and Lonehill",3 Bed Cluster in Craigavon,"9 Pine Avon, 29 Pine Avenue",R 2 695 000,"['Listing number\nT3091263', 'Property type\nCluster', 'Erf size\n260 m²', 'Floor size\n232.7 m²', 'Rates and taxes\nR 1 350', 'Levies\nR 2 250']","['Bedrooms\n3', 'Bathrooms\n2.5', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2', 'Storeys\n2']",https://helium.privateproperty.co.za/live-za-images/property/257/32/7364257/images/property-7364257-86244421_dhd.jpg
40,"Fourways, Sunninghill and Lonehill",4 Bed House in Fourways,,R 2 899 000,"['Listing number\nT4800350', 'Property type\nHouse', 'Erf size\n1 500 m²', 'Rates and taxes\nR 2 048', 'Levies\nR 920']","['Bedrooms\n4', 'Bathrooms\n2.5', 'Lounges\n2', 'Dining Areas\n1', 'Garages\n2']",https://helium.privateproperty.co.za/live-za-images/property/1329/38/10677329/images/property-10677329-8750956_dhd.jpg
41,"Fourways, Sunninghill and Lonehill",4 Bed House in Beverley,,R 3 154 650,"['Listing number\nT4770294', 'Property type\nHouse', 'Erf size\n330 m²', 'Floor size\n207 m²', 'Rates and taxes\nR 1 200', 'Levies\nR 1 200']","['Bedrooms\n4', 'Bathrooms\n2.5', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2', 'Covered Parkings\n2', 'Storeys\n2']",https://helium.privateproperty.co.za/live-za-images/property/215/13/10626215/images/property-10626215-24134163_dhd.jpg
42,"Fourways, Sunninghill and Lonehill",4 Bed House in Fourways,,R 3 199 000,"['Listing number\nT4754077', 'Property type\nHouse', 'Erf size\n1 968 m²', 'Floor size\n266 m²', 'Rates and taxes\nR 1 745']","['Bedrooms\n4', 'Bathrooms\n2', 'Lounges\n2', 'Dining Areas\n1', 'Garages\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1072/49/10599072/images/property-10599072-43137827_dhd.jpg
43,"Fourways, Sunninghill and Lonehill",5 Bed House in Steyn City,,R 17 999 999,"['Listing number\nT4449903', 'Property type\nHouse', 'Erf size\n1 373 m²', 'Floor size\n700 m²', 'Levies\nR 3 650']","['Bedrooms\n5', 'Bathrooms\n5', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n4']",https://helium.privateproperty.co.za/live-za-images/property/4/47/10094004/images/property-10094004-99160822_dhd.jpg
44,"Fourways, Sunninghill and Lonehill",1 Bed Apartment in Fourways,"7 Key Largo, Othello Avenue",R 1 059 000,"['Listing number\nT4658924', 'Property type\nApartment', 'Floor size\n55 m²', 'Rates and taxes\nR 857', 'Levies\nR 1 144']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Open Parkings\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/304/18/10436304/images/property-10436304-83811546_dhd.jpg
45,"Fourways, Sunninghill and Lonehill",1 Bed Penthouse in Fourways,"76 Key Largo, 30 Othello Avenue",R 1 205 000,"['Listing number\nT4659521', 'Property type\nPenthouse', 'Floor size\n68 m²', 'Rates and taxes\nR 975', 'Levies\nR 1 232']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Open Parkings\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1363/18/10437363/images/property-10437363-3609555_dhd.jpg
46,"Fourways, Sunninghill and Lonehill",1 Bed Penthouse in Fourways,"93 Key Largo, 30 Othello Avenue",R 1 219 000,"['Listing number\nT4661069', 'Property type\nPenthouse', 'Floor size\n62 m²', 'Rates and taxes\nR 1 072', 'Levies\nR 1 298']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Open Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/200/20/10440200/images/property-10440200-49471031_dhd.jpg
47,"Fourways, Sunninghill and Lonehill",2 Bed Penthouse in Fourways,"31 Key Largo, 31 Othello Avenue",R 1 659 000,"['Listing number\nT4659034', 'Property type\nPenthouse', 'Floor size\n83 m²', 'Rates and taxes\nR 1 363', 'Levies\nR 1 760']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n1', 'Open Parkings\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/497/18/10436497/images/property-10436497-90245476_dhd.jpg
48,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Beverley,"D4*47 Mandalay, 52 Mulbarton Road",R 1 700 000,"['Listing number\nT4525416', 'Property type\nApartment', 'Floor size\n77 m²', 'Rates and taxes\nR 1 395', 'Levies\nR 1 613']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Open Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1796/9/10219796/images/property-10219796-95787910_dhd.jpg
49,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Fourways,,R 979 000,"['Listing number\nT4571957', 'Property type\nApartment', 'Erf size\n76 m²', 'Rates and taxes\nR 525', 'Levies\nR 760']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1']",https://helium.privateproperty.co.za/live-za-images/property/1293/46/10293293/images/property-10293293-38494133_sd.jpg
50,"Fourways, Sunninghill and Lonehill",2 Bed Townhouse in Jukskei Park,,R 1 099 000,"['Listing number\nT4454303', 'Property type\nTownhouse', 'Erf size\n110 m²', 'Floor size\n110 m²', 'Rates and taxes\nR 700', 'Levies\nR 3 345']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1223/0/10101223/images/property-10101223-32383109_dhd.jpg
51,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Fourways,,R 1 260 000,"['Listing number\nT4263305', 'Property type\nApartment', 'Floor size\n102 m²', 'Rates and taxes\nR 883', 'Levies\nR 2 586']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1966/28/9757966/images/property-9757966-93912591_dhd.jpg
52,"Fourways, Sunninghill and Lonehill",3 Bed Townhouse in Broadacres,,R 1 275 000,"['Listing number\nT3886919', 'Property type\nTownhouse', 'Erf size\n94 m²', 'Floor size\n94 m²', 'Rates and taxes\nR 800', 'Levies\nR 3 180']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n2', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/676/24/9048676/images/property-9048676-47837203_dhd.jpg
53,"Fourways, Sunninghill and Lonehill",3 Bed Apartment in Broadacres,,R 1 349 000,"['Listing number\nT4623394', 'Property type\nApartment', 'Floor size\n96 m²', 'Rates and taxes\nR 1 041']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/750/38/10376750/images/property-10376750-30429626_sd.jpg
