,suburb,propert_desc,address,price,property_details,property_features,image
94,Rosebank and Parktown,1 Bed Flat in Norwood,"29 Eliana Court, 2 Paterson Road",R 810 000,"['Listing number\nT4621439', 'Property type\nFlat', 'Erf size\n1.9 ha', 'Floor size\n76 m²', 'Rates and taxes\nR 700', 'Levies\nR 2 391']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Garages\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1318/36/10373318/images/property-10373318-2570975_dhd.jpg
95,Rosebank and Parktown,2 Bed Apartment in Orchards,"6 Garden Mews, 65 Garden Road",R 820 000,"['Listing number\nT4043602', 'Property type\nApartment', 'Floor size\n122 m²', 'Rates and taxes\nR 461', 'Levies\nR 3 372']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1023/26/9353023/images/property-9353023-40546345_sd.jpg
96,Rosebank and Parktown,1 Bed Apartment in Melrose North,"6 Kernick Place, 41 Westwood Avenue",R 825 000,"['Listing number\nT4193930', 'Property type\nApartment', 'Floor size\n56 m²', 'Rates and taxes\nR 676', 'Levies\nR 2 373']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/66/11/9622066/images/property-9622066-80859212_dhd.jpg
97,Rosebank and Parktown,2 Bed Apartment in Parktown,"678 Route 82, 678 Cnr Paul Streeat And Tambotie",R 839 000,"['Listing number\nT4642237', 'Property type\nApartment', 'Floor size\n56 m²', 'Rates and taxes\nR 400', 'Levies\nR 1 100']","['Bedrooms\n2', 'Bathrooms\n1.5', 'Lounges\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/747/4/10408747/images/property-10408747-55165686_dhd.jpg
98,Rosebank and Parktown,3 Bed Apartment in Highlands North,"G6 Highlands Gardens, 198 Louis Botha",R 840 000,"['Listing number\nT4418719', 'Property type\nApartment', 'Floor size\n120 m²', 'Rates and taxes\nR 735', 'Levies\nR 3 600']","['Bedrooms\n3', 'Bathrooms\n2.5', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1715/20/10041715/images/property-10041715-91257018_sd.jpg
99,Rosebank and Parktown,2 Bed Apartment in Houghton Estate,"14 Roxdale Gardens, 4 Lloys Ellis Avenue",R 849 000,"['Listing number\nT4679448', 'Property type\nApartment', 'Floor size\n59 m²', 'Rates and taxes\nR 234', 'Levies\nR 1 693']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/1029/35/10471029/images/property-10471029-11082733_dhd.jpg
100,Rosebank and Parktown,3 Bed Apartment in Savoy Estate,"14 Savoy Gardens, 40 Aintree Avenue",R 850 000,"['Listing number\nT4703832', 'Property type\nApartment', 'Floor size\n107 m²', 'Levies\nR 2 217']","['Bedrooms\n3', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/322/6/10512322/images/property-10512322-66355165_sd.jpg
101,Rosebank and Parktown,1 Bed Apartment in Parktown,"7 Mostyn Hall, 105 Princess Place",R 850 000,"['Listing number\nT4586005', 'Property type\nApartment', 'Floor size\n88 m²', 'Rates and taxes\nR 350', 'Levies\nR 1 967']","['Bedrooms\n1', 'Bathrooms\n1', 'En-suite\n1', 'Lounges\n1', 'Open Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1695/7/10315695/images/property-10315695-42319075_sd.jpg
102,Rosebank and Parktown,1 Bed Apartment in Melrose North,"13 Melrose Gate, . Noordhoek Close",R 880 000,"['Listing number\nT3450767', 'Property type\nApartment', 'Floor size\n57 m²', 'Rates and taxes\nR 869', 'Levies\nR 2 385']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/1683/19/8139683/images/property-8139683-19619366_dhd.jpg
103,Rosebank and Parktown,3 Bed Apartment in Parktown,"26 Princess Towers, 5 Princess Place",R 890 000,"['Listing number\nT4425742', 'Property type\nApartment', 'Floor size\n155 m²', 'Rates and taxes\nR 1 000', 'Levies\nR 2 710']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2']",https://helium.privateproperty.co.za/live-za-images/property/1590/26/10053590/images/property-10053590-20504155_dhd.jpg
104,Rosebank and Parktown,1 Bed Apartment in Highlands North,"8x Highwoods, 2 7th Ave",R 900 000,"['Listing number\nT4791322', 'Property type\nApartment', 'Floor size\n63 m²', 'Rates and taxes\nR 720', 'Levies\nR 2 167']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/11/31/10662011/images/property-10662011-61120966_sd.jpg
105,Rosebank and Parktown,1 Bed Apartment in Killarney,"186 Daventry Court, 16 Riviera Road",R 900 000,"['Listing number\nT4530385', 'Property type\nApartment', 'Floor size\n81 m²', 'Rates and taxes\nR 770', 'Levies\nR 2 448']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/1490/13/10227490/images/property-10227490-90891092_sd.jpg
106,Rosebank and Parktown,1 Bed Apartment in Fairway,". Headingley, 56 Corlett",R 920 000,"['Listing number\nT4721421', 'Property type\nApartment', 'Floor size\n114 m²', 'Rates and taxes\nR 1 200', 'Levies\nR 3 200']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n2']",https://helium.privateproperty.co.za/live-za-images/property/997/21/10542997/images/property-10542997-85290671_dhd.jpg
