,suburb,propert_desc,address,price,property_details,property_features,image
231,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 529 000,"['Listing number\nT4774869', 'Property type\nApartment', 'Floor size\n103 m²', 'Rates and taxes\nR 1 480', 'Levies\nR 2 620']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/165/17/10634165/images/property-10634165-93168559_dhd.jpg
232,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 580 000,"['Listing number\nT4456123', 'Property type\nApartment', 'Floor size\n107 m²', 'Rates and taxes\nR 1 404']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/337/2/10104337/images/property-10104337-77779434_dhd.jpg
233,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 595 000,"['Listing number\nT4774835', 'Property type\nApartment', 'Floor size\n103 m²', 'Rates and taxes\nR 990', 'Levies\nR 2 616']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/82/17/10634082/images/property-10634082-67279737_dhd.jpg
234,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 599 000,"['Listing number\nT4666400', 'Property type\nApartment', 'Floor size\n104 m²', 'Rates and taxes\nR 1 027', 'Levies\nR 2 615']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1368/24/10449368/images/property-10449368-39781857_dhd.jpg
235,Modderfontein,3 Bed Townhouse in Modderfontein,,R 1 599 000,"['Listing number\nT4539980', 'Property type\nTownhouse', 'Floor size\n104 m²', 'Rates and taxes\nR 944', 'Levies\nR 2 616']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/223/21/10242223/images/property-10242223-95313985_sd.jpg
236,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 600 000,"['Listing number\nT4778134', 'Property type\nApartment', 'Floor size\n107 m²', 'Rates and taxes\nR 800', 'Levies\nR 1 900']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1865/19/10639865/images/property-10639865-32642482_dhd.jpg
237,Modderfontein,3 Bed Townhouse in Modderfontein,,R 1 600 000,"['Listing number\nT4744388', 'Property type\nTownhouse', 'Erf size\n5.3 ha', 'Floor size\n104 m²', 'Rates and taxes\nR 1 030', 'Levies\nR 2 590']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/341/41/10582341/images/property-10582341-54313915_dhd.jpg
238,Modderfontein,3 Bed Townhouse in Modderfontein,,R 1 600 000,"['Listing number\nT4572354', 'Property type\nTownhouse', 'Floor size\n104 m²', 'Rates and taxes\nR 694']","['Bedrooms\n3', 'Bathrooms\n2', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1838/46/10293838/images/property-10293838-83076123_dhd.jpg
239,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 620 000,"['Listing number\nT4649410', 'Property type\nApartment', 'Erf size\n3.7 ha', 'Floor size\n103 m²', 'Rates and taxes\nR 1 144', 'Levies\nR 2 500']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/592/10/10420592/images/property-10420592-71576469_dhd.jpg
240,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 640 000,"['Listing number\nT4691270', 'Property type\nApartment', 'Floor size\n104 m²', 'Rates and taxes\nR 1 110', 'Levies\nR 3 190']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/430/45/10490430/images/property-10490430-77728486_sd.jpg
241,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 649 000,"['Listing number\nT4732825', 'Property type\nApartment', 'Floor size\n104 m²', 'Rates and taxes\nR 800', 'Levies\nR 1 900']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/231/31/10562231/images/property-10562231-21406411_dhd.jpg
242,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 650 000,"['Listing number\nT4734838', 'Property type\nApartment', 'Floor size\n103 m²', 'Rates and taxes\nR 1 153', 'Levies\nR 2 836']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1684/32/10565684/images/property-10565684-91217535_dhd.jpg
243,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 650 000,"['Listing number\nT4733965', 'Property type\nApartment', 'Floor size\n104 m²', 'Rates and taxes\nR 1 153', 'Levies\nR 2 836']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/60/32/10564060/images/property-10564060-79382751_sd.jpg
244,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 650 000,"['Listing number\nT4705101', 'Property type\nApartment', 'Floor size\n104 m²', 'Rates and taxes\nR 896', 'Levies\nR 1 945']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n2', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/552/7/10514552/images/property-10514552-71205473_sd.jpg
245,Modderfontein,3 Bed Townhouse in Modderfontein,,R 1 650 000,"['Listing number\nT4461526', 'Property type\nTownhouse', 'Floor size\n104 m²', 'Rates and taxes\nR 930', 'Levies\nR 2 300']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/539/7/10114539/images/property-10114539-90790017_dhd.jpg
246,Modderfontein,3 Bed Townhouse in Modderfontein,,R 1 750 000,"['Listing number\nT4805310', 'Property type\nTownhouse', 'Erf size\n107 m²', 'Rates and taxes\nR 1 061', 'Levies\nR 2 687']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Covered Parkings\n2', 'Storeys\n1']",https://helium.privateproperty.co.za/live-za-images/property/1524/42/10685524/images/property-10685524-54740132_dhd.jpg
